Cluster Representative	P-P Genomes
IMGVR_UViG_3300020190_000936	IMGVR_UViG_3300020190_000936
IMGVR_UViG_3300020190_000936	IMGVR_UViG_3300020084_000340
IMGVR_UViG_3300020190_000936	IMGVR_UViG_3300020109_000396
IMGVR_UViG_3300020190_000936	IMGVR_UViG_3300020220_000928
IMGVR_UViG_3300020190_000936	IMGVR_UViG_3300020197_000469
IMGVR_UViG_3300020190_000223	IMGVR_UViG_3300020190_000223
IMGVR_UViG_3300020191_000266	IMGVR_UViG_3300020191_000266
IMGVR_UViG_3300020193_000227	IMGVR_UViG_3300020193_000227
IMGVR_UViG_3300020195_000009	IMGVR_UViG_3300020195_000009
IMGVR_UViG_3300020196_000041	IMGVR_UViG_3300020196_000041
IMGVR_UViG_3300020196_000041	IMGVR_UViG_3300020179_000068
IMGVR_UViG_3300020196_000041	IMGVR_UViG_3300021376_000121
IMGVR_UViG_3300020196_000041	IMGVR_UViG_3300020222_000274
IMGVR_UViG_3300020196_000041	IMGVR_UViG_3300021091_000436
IMGVR_UViG_3300020196_000041	IMGVR_UViG_3300020220_000119
IMGVR_UViG_3300020196_000041	IMGVR_UViG_3300020190_000131
IMGVR_UViG_3300020196_000041	IMGVR_UViG_3300021092_000086
IMGVR_UViG_3300020196_000041	IMGVR_UViG_3300021093_000155
IMGVR_UViG_3300020196_000041	IMGVR_UViG_3300021424_000094
IMGVR_UViG_3300020196_000041	IMGVR_UViG_3300020074_000043
IMGVR_UViG_3300020196_000619	IMGVR_UViG_3300020196_000619
IMGVR_UViG_3300020196_000619	IMGVR_UViG_3300020190_000959
IMGVR_UViG_3300020196_000619	IMGVR_UViG_3300020074_000354
IMGVR_UViG_3300020198_000157	IMGVR_UViG_3300020198_000157
IMGVR_UViG_3300020198_000157	IMGVR_UViG_3300020197_000318
IMGVR_UViG_3300020200_000328	IMGVR_UViG_3300020200_000328
IMGVR_UViG_3300020200_000078	IMGVR_UViG_3300020200_000078
IMGVR_UViG_3300020200_000004	IMGVR_UViG_3300020200_000004
IMGVR_UViG_3300020200_000004	IMGVR_UViG_3300020193_000015
IMGVR_UViG_3300020201_000087	IMGVR_UViG_3300020201_000087
IMGVR_UViG_3300020202_000223	IMGVR_UViG_3300020202_000223
IMGVR_UViG_3300020202_000143	IMGVR_UViG_3300020202_000143
IMGVR_UViG_3300020204_000714	IMGVR_UViG_3300020204_000714
IMGVR_UViG_3300020213_000185	IMGVR_UViG_3300020213_000185
IMGVR_UViG_3300020214_000100	IMGVR_UViG_3300020214_000100
IMGVR_UViG_3300020214_000100	IMGVR_UViG_3300020193_000146
IMGVR_UViG_3300020214_000100	IMGVR_UViG_3300020198_000108
IMGVR_UViG_3300020214_000100	IMGVR_UViG_3300020197_000467
IMGVR_UViG_3300020214_000212	IMGVR_UViG_3300020214_000212
IMGVR_UViG_3300020214_000212	IMGVR_UViG_3300020083_000171
IMGVR_UViG_3300020215_000210	IMGVR_UViG_3300020215_000210
IMGVR_UViG_3300020221_000137	IMGVR_UViG_3300020221_000137
IMGVR_UViG_3300020221_000058	IMGVR_UViG_3300020221_000058
IMGVR_UViG_3300020221_000058	IMGVR_UViG_3300020190_000421
IMGVR_UViG_3300020221_000058	IMGVR_UViG_3300020196_000306
IMGVR_UViG_3300020221_000058	IMGVR_UViG_3300020204_000435
IMGVR_UViG_3300020221_000058	IMGVR_UViG_3300020578_000498
IMGVR_UViG_3300020221_000058	IMGVR_UViG_3300021092_000260
IMGVR_UViG_3300020221_000058	IMGVR_UViG_3300021093_000419
IMGVR_UViG_3300020221_000058	IMGVR_UViG_3300021424_000266
IMGVR_UViG_3300020221_000058	IMGVR_UViG_3300020074_000151
IMGVR_UViG_3300020221_000058	IMGVR_UViG_3300020084_000130
IMGVR_UViG_3300020221_000058	IMGVR_UViG_3300020222_000218
IMGVR_UViG_3300020221_000058	IMGVR_UViG_3300020220_000254
IMGVR_UViG_3300020221_000058	IMGVR_UViG_3300020603_000165
IMGVR_UViG_3300020247_000028	IMGVR_UViG_3300020247_000028
IMGVR_UViG_3300020252_000005	IMGVR_UViG_3300020252_000005
IMGVR_UViG_3300020256_000001	IMGVR_UViG_3300020256_000001
IMGVR_UViG_3300020256_000001	IMGVR_UViG_3300020383_000005
IMGVR_UViG_3300020292_000040	IMGVR_UViG_3300020292_000040
IMGVR_UViG_3300020310_000051	IMGVR_UViG_3300020310_000051
IMGVR_UViG_3300020319_000047	IMGVR_UViG_3300020319_000047
IMGVR_UViG_3300020340_000044	IMGVR_UViG_3300020340_000044
IMGVR_UViG_3300020347_000025	IMGVR_UViG_3300020347_000025
IMGVR_UViG_3300020367_000002	IMGVR_UViG_3300020367_000002
IMGVR_UViG_3300020369_000005	IMGVR_UViG_3300020369_000005
IMGVR_UViG_3300020370_000031	IMGVR_UViG_3300020370_000031
IMGVR_UViG_3300020378_000156	IMGVR_UViG_3300020378_000156
IMGVR_UViG_3300020381_000061	IMGVR_UViG_3300020381_000061
IMGVR_UViG_3300020381_000061	IMGVR_UViG_3300020374_000061
IMGVR_UViG_3300020383_000003	IMGVR_UViG_3300020383_000003
uvig_316760	uvig_316760
uvig_317087	uvig_317087
uvig_317585	uvig_317585
uvig_317653	uvig_317653
uvig_317803	uvig_317803
uvig_317885	uvig_317885
uvig_317990	uvig_317990
uvig_318268	uvig_318268
uvig_318268	IMGVR_UViG_2541047981_000004
uvig_318330	uvig_318330
uvig_318330	UGV-GENOME-4434879
uvig_318786	uvig_318786
uvig_318786	IMGVR_UViG_3300028954_000001
uvig_318786	UGV-GENOME-0341795_1
uvig_318786	UGV-GENOME-0344881
uvig_318786	UGV-GENOME-0345400_1
uvig_318786	UGV-GENOME-0345401_1
uvig_318786	MGV-GENOME-0345400
uvig_318786	DTR_718758
uvig_318786	UGV-GENOME-0371076_1
uvig_319058	uvig_319058
uvig_319151	uvig_319151
uvig_319300	uvig_319300
uvig_325402	uvig_325402
uvig_327604	uvig_327604
uvig_331009	uvig_331009
uvig_358879	uvig_358879
uvig_370865	uvig_370865
uvig_376294	uvig_376294
uvig_39284	uvig_39284
uvig_392890	uvig_392890
uvig_393930	uvig_393930
uvig_394167	uvig_394167
uvig_394322	uvig_394322
uvig_394322	UGV-GENOME-0370798_1
uvig_394467	uvig_394467
uvig_394586	uvig_394586
uvig_394614	uvig_394614
uvig_394922	uvig_394922
uvig_394927	uvig_394927
uvig_395169	uvig_395169
uvig_395439	uvig_395439
uvig_396358	uvig_396358
uvig_396948	uvig_396948
uvig_415555	uvig_415555
uvig_427230	uvig_427230
uvig_430272	uvig_430272
uvig_437204	uvig_437204
uvig_437204	UGV-GENOME-0354594
uvig_446574	uvig_446574
uvig_452974	uvig_452974
uvig_453667	uvig_453667
uvig_453667	IMGVR_UViG_3300029385_000004
uvig_453667	IMGVR_UViG_3300029376_000032
uvig_453667	IMGVR_UViG_3300029386_000005
uvig_460428	uvig_460428
uvig_461544	uvig_461544
uvig_481876	uvig_481876
uvig_482885	uvig_482885
uvig_487199	uvig_487199
uvig_504075	uvig_504075
uvig_50723	uvig_50723
uvig_514394	uvig_514394
uvig_540193	uvig_540193
uvig_542259	uvig_542259
uvig_545938	uvig_545938
uvig_553790	uvig_553790
uvig_564992	uvig_564992
uvig_576208	uvig_576208
uvig_576219	uvig_576219
uvig_576579	uvig_576579
uvig_576586	uvig_576586
uvig_576774	uvig_576774
uvig_577415	uvig_577415
uvig_577555	uvig_577555
uvig_577609	uvig_577609
uvig_578055	uvig_578055
uvig_578912	uvig_578912
uvig_578930	uvig_578930
uvig_583366	uvig_583366
uvig_59469	uvig_59469
MGV-GENOME-0061997	MGV-GENOME-0061997
IMGVR_UViG_3300025849_000103	IMGVR_UViG_3300025849_000103
IMGVR_UViG_3300025849_000103	IMGVR_UViG_3300009496_000038
IMGVR_UViG_3300025851_000007	IMGVR_UViG_3300025851_000007
IMGVR_UViG_3300025851_000007	IMGVR_UViG_3300008222_000011
IMGVR_UViG_3300025851_000007	IMGVR_UViG_3300008226_000006
IMGVR_UViG_3300025851_000007	IMGVR_UViG_3300025731_000004
IMGVR_UViG_3300025851_000007	IMGVR_UViG_3300008251_000006
IMGVR_UViG_3300025851_000004	IMGVR_UViG_3300025851_000004
IMGVR_UViG_3300025851_000004	IMGVR_UViG_3300025731_000003
IMGVR_UViG_3300025851_000004	IMGVR_UViG_3300025738_000003
IMGVR_UViG_3300025853_001286	IMGVR_UViG_3300025853_001286
IMGVR_UViG_3300025853_002362	IMGVR_UViG_3300025853_002362
IMGVR_UViG_3300025859_000072	IMGVR_UViG_3300025859_000072
IMGVR_UViG_3300025859_000072	IMGVR_UViG_3300025784_000116
IMGVR_UViG_3300025859_000143	IMGVR_UViG_3300025859_000143
IMGVR_UViG_3300025861_000049	IMGVR_UViG_3300025861_000049
IMGVR_UViG_3300025870_000183	IMGVR_UViG_3300025870_000183
IMGVR_UViG_3300025875_000117	IMGVR_UViG_3300025875_000117
IMGVR_UViG_3300025876_000170	IMGVR_UViG_3300025876_000170
IMGVR_UViG_3300025879_000308	IMGVR_UViG_3300025879_000308
IMGVR_UViG_3300025886_000275	IMGVR_UViG_3300025886_000275
IMGVR_UViG_3300025887_000435	IMGVR_UViG_3300025887_000435
IMGVR_UViG_3300025887_000435	IMGVR_UViG_3300025645_001416
IMGVR_UViG_3300025887_000435	IMGVR_UViG_3300022072_000513
IMGVR_UViG_3300025887_000250	IMGVR_UViG_3300025887_000250
IMGVR_UViG_3300025887_000033	IMGVR_UViG_3300025887_000033
IMGVR_UViG_3300025889_002718	IMGVR_UViG_3300025889_002718
IMGVR_UViG_3300025889_002718	IMGVR_UViG_3300025769_002603
IMGVR_UViG_3300025889_002718	IMGVR_UViG_3300006919_001612
IMGVR_UViG_3300025889_001178	IMGVR_UViG_3300025889_001178
IMGVR_UViG_3300025889_000896	IMGVR_UViG_3300025889_000896
IMGVR_UViG_3300025889_003334	IMGVR_UViG_3300025889_003334
IMGVR_UViG_3300025889_000949	IMGVR_UViG_3300025889_000949
IMGVR_UViG_3300025889_000949	IMGVR_UViG_3300007344_000417
IMGVR_UViG_3300025892_000136	IMGVR_UViG_3300025892_000136
IMGVR_UViG_3300025896_000377	IMGVR_UViG_3300025896_000377
IMGVR_UViG_3300025902_000017	IMGVR_UViG_3300025902_000017
IMGVR_UViG_3300025902_000017	IMGVR_UViG_3300009838_000043
IMGVR_UViG_3300025909_000022	IMGVR_UViG_3300025909_000022
IMGVR_UViG_3300025917_000026	IMGVR_UViG_3300025917_000026
IMGVR_UViG_3300025929_000030	IMGVR_UViG_3300025929_000030
IMGVR_UViG_3300025929_000034	IMGVR_UViG_3300025929_000034
IMGVR_UViG_3300025935_000014	IMGVR_UViG_3300025935_000014
IMGVR_UViG_3300025935_000014	IMGVR_UViG_3300009148_000020
IMGVR_UViG_3300025937_000036	IMGVR_UViG_3300025937_000036
IMGVR_UViG_3300025941_000023	IMGVR_UViG_3300025941_000023
IMGVR_UViG_3300025960_000004	IMGVR_UViG_3300025960_000004
IMGVR_UViG_3300025961_000068	IMGVR_UViG_3300025961_000068
IMGVR_UViG_3300026081_000041	IMGVR_UViG_3300026081_000041
IMGVR_UViG_3300026095_000074	IMGVR_UViG_3300026095_000074
IMGVR_UViG_3300026123_000014	IMGVR_UViG_3300026123_000014
IMGVR_UViG_3300026125_000066	IMGVR_UViG_3300026125_000066
IMGVR_UViG_3300026156_000001	IMGVR_UViG_3300026156_000001
IMGVR_UViG_3300026164_000006	IMGVR_UViG_3300026164_000006
IMGVR_UViG_3300026189_000084	IMGVR_UViG_3300026189_000084
IMGVR_UViG_3300026194_000005	IMGVR_UViG_3300026194_000005
IMGVR_UViG_3300026201_000011	IMGVR_UViG_3300026201_000011
IMGVR_UViG_3300026201_000011	IMGVR_UViG_3300005510_000018
IMGVR_UViG_3300026202_000006	IMGVR_UViG_3300026202_000006
IMGVR_UViG_3300026203_000010	IMGVR_UViG_3300026203_000010
IMGVR_UViG_3300026229_000002	IMGVR_UViG_3300026229_000002
IMGVR_UViG_3300026229_000002	IMGVR_UViG_3300026228_000001
IMGVR_UViG_3300026229_000002	IMGVR_UViG_3300026219_000001
IMGVR_UViG_3300026254_000005	IMGVR_UViG_3300026254_000005
IMGVR_UViG_3300026260_000011	IMGVR_UViG_3300026260_000011
IMGVR_UViG_3300026261_000001	IMGVR_UViG_3300026261_000001
IMGVR_UViG_3300026270_000094	IMGVR_UViG_3300026270_000094
IMGVR_UViG_3300026272_000012	IMGVR_UViG_3300026272_000012
IMGVR_UViG_3300026274_000008	IMGVR_UViG_3300026274_000008
IMGVR_UViG_3300026274_000008	IMGVR_UViG_3300009651_000005
IMGVR_UViG_3300026274_000008	IMGVR_UViG_3300009660_000003
IMGVR_UViG_3300026274_000008	IMGVR_UViG_3300009662_000004
IMGVR_UViG_3300026274_000008	IMGVR_UViG_3300026275_000002
IMGVR_UViG_3300026274_000008	IMGVR_UViG_3300009649_000008
IMGVR_UViG_3300026274_000008	IMGVR_UViG_3300009650_000008
IMGVR_UViG_3300026284_000004	IMGVR_UViG_3300026284_000004
IMGVR_UViG_3300026290_000007	IMGVR_UViG_3300026290_000007
IMGVR_UViG_3300026291_000001	IMGVR_UViG_3300026291_000001
IMGVR_UViG_3300026291_000001	IMGVR_UViG_3300005994_000001
IMGVR_UViG_3300026292_000003	IMGVR_UViG_3300026292_000003
IMGVR_UViG_3300026302_000006	IMGVR_UViG_3300026302_000006
IMGVR_UViG_3300026367_000007	IMGVR_UViG_3300026367_000007
IMGVR_UViG_2526164609_000001	IMGVR_UViG_2526164609_000001
IMGVR_UViG_2526164609_000006	IMGVR_UViG_2526164609_000006
IMGVR_UViG_2526164609_000008	IMGVR_UViG_2526164609_000008
