MGE,ARG,ARO Accession,Genome,Predicted_gene_name,Predicted_host,Associated_drug_class,MajorClass
P-P,-VEB 1.00,ARO:3002370,NZ_MK439959.1,CAM88398.1,Acinetobacter baumannii AYE ,cephalosporin;monobactam,beta-lactam
P-P,AAC(3)-Ib,ARO:3002530,NZ_CP034755.1,AAA88422.1,Pseudomonas aeruginosa ,aminoglycoside antibiotic,aminoglycoside
P-P,AAC(3)-IId,ARO:3004623,NZ_CP033632.1,ABS70977.1,Escherichia coli ,aminoglycoside antibiotic,aminoglycoside
P-P,AAC(3)-IId,ARO:3004623,NZ_CP034590.1,ABS70977.1,Escherichia coli ,aminoglycoside antibiotic,aminoglycoside
P-P,AAC(3)-IId,ARO:3004623,NZ_CP058165.1,ABS70977.1,Escherichia coli ,aminoglycoside antibiotic,aminoglycoside
P-P,AAC(3)-IId,ARO:3004623,NZ_CP063488.1,ABS70977.1,Escherichia coli ,aminoglycoside antibiotic,aminoglycoside
P-P,AAC(3)-IId,ARO:3004623,NZ_KX928752.1,ABS70977.1,Escherichia coli ,aminoglycoside antibiotic,aminoglycoside
P-P,AAC(3)-IId,ARO:3004623,NZ_LR130553.1,ABS70977.1,Escherichia coli ,aminoglycoside antibiotic,aminoglycoside
P-P,AAC(3)-IIe,ARO:3004621,NZ_AP023428.1,ABS70978.1,Escherichia coli ,aminoglycoside antibiotic,aminoglycoside
P-P,AAC(3)-IIe,ARO:3004621,NZ_CP021203.1,ABS70978.1,Escherichia coli ,aminoglycoside antibiotic,aminoglycoside
P-P,AAC(3)-IIe,ARO:3004621,NZ_CP037929.1,ABS70978.1,Escherichia coli ,aminoglycoside antibiotic,aminoglycoside
P-P,AAC(3)-IIe,ARO:3004621,NZ_MN922301.1,ABS70978.1,Escherichia coli ,aminoglycoside antibiotic,aminoglycoside
P-P,AAC(3)-IV,ARO:3002539,NZ_CP010146.1,ABB43029.1,Escherichia coli ,aminoglycoside antibiotic,aminoglycoside
P-P,AAC(3)-IV,ARO:3002539,NZ_CP019054.1,ABB43029.1,Escherichia coli ,aminoglycoside antibiotic,aminoglycoside
P-P,AAC(3)-IV,ARO:3002539,NZ_CP033251.1,ABB43029.1,Escherichia coli ,aminoglycoside antibiotic,aminoglycoside
P-P,AAC(3)-IV,ARO:3002539,NZ_CP055258.1,ABB43029.1,Escherichia coli ,aminoglycoside antibiotic,aminoglycoside
P-P,AAC(3)-IV,ARO:3002539,NZ_MG196293.1,ABB43029.1,Escherichia coli ,aminoglycoside antibiotic,aminoglycoside
P-P,AAC(3)-IV,ARO:3002539,NZ_MN510447.1,ABB43029.1,Escherichia coli ,aminoglycoside antibiotic,aminoglycoside
P-P,AAC(3)-VIa,ARO:3002540,NZ_CP062816.1,AAA16194.1,Enterobacter cloacae ,aminoglycoside antibiotic,aminoglycoside
P-P,AAC(3)-VIa,ARO:3002540,NZ_CP062827.1,AAA16194.1,Enterobacter cloacae ,aminoglycoside antibiotic,aminoglycoside
P-P,AAC(3)-VIa,ARO:3002540,NZ_CP062833.1,AAA16194.1,Enterobacter cloacae ,aminoglycoside antibiotic,aminoglycoside
P-P,AAC(3)-VIa,ARO:3002540,NZ_CP062839.1,AAA16194.1,Enterobacter cloacae ,aminoglycoside antibiotic,aminoglycoside
P-P,AAC(3)-VIa,ARO:3002540,NZ_CP062884.1,AAA16194.1,Enterobacter cloacae ,aminoglycoside antibiotic,aminoglycoside
P-P,AAC(3)-VIa,ARO:3002540,NZ_CP062896.1,AAA16194.1,Enterobacter cloacae ,aminoglycoside antibiotic,aminoglycoside
P-P,AAC(6')-33,ARO:3002587,NZ_CP018956.1,AEZ05106.1,Escherichia coli ,aminoglycoside antibiotic,aminoglycoside
P-P,AAC(6')-33,ARO:3002587,NZ_CP021835.1,AEZ05106.1,Escherichia coli ,aminoglycoside antibiotic,aminoglycoside
P-P,AAC(6')-33,ARO:3002587,NZ_CP025141.1,AEZ05106.1,Escherichia coli ,aminoglycoside antibiotic,aminoglycoside
P-P,AAC(6')-33,ARO:3002587,NZ_CP025144.1,AEZ05106.1,Escherichia coli ,aminoglycoside antibiotic,aminoglycoside
P-P,AAC(6')-33,ARO:3002587,NZ_CP025147.1,AEZ05106.1,Escherichia coli ,aminoglycoside antibiotic,aminoglycoside
