accession	MGE
NC000866	phage
NC000867	phage
NC000871	phage
NC000872	phage
NC000896	phage
NC000902	phage
NC000924	phage
NC000929	phage
NC000935	phage
NC001270	phage
NC001271	phage
NC001317	phage
NC001330	phage
NC001331	phage
NC001332	phage
NC001335	phage
NC001341	phage
NC001365	phage
NC001396	phage
NC001416	phage
NC001417	phage
NC001418	phage
NC001420	phage
NC001421	phage
NC001422	phage
NC001426	phage
NC001447	phage
NC001604	phage
NC001609	phage
NC001628	phage
NC001629	phage
NC001697	phage
NC001706	phage
NC001730	phage
NC001741	phage
NC001825	phage
NC001835	phage
NC001884	phage
NC001890	phage
NC001895	phage
NC001900	phage
NC001901	phage
NC001909	phage
NC001942	phage
NC001954	phage
NC001956	phage
NC001978	phage
NC001998	phage
NC002014	phage
NC002072	phage
NC002166	phage
NC002167	phage
NC002180	phage
NC002185	phage
NC002194	phage
NC002214	phage
NC002321	phage
NC002362	phage
NC002363	phage
NC002371	phage
NC002484	phage
NC002486	phage
NC002515	phage
NC002519	phage
NC002643	phage
NC002649	phage
NC002656	phage
NC002661	phage
NC002666	phage
NC002667	phage
NC002668	phage
NC002669	phage
NC002670	phage
NC002671	phage
NC002700	phage
NC002703	phage
NC002730	phage
NC002747	phage
NC002796	phage
NC003050	phage
NC003085	phage
NC003157	phage
NC003216	phage
NC003278	phage
NC003287	phage
NC003288	phage
NC003291	phage
NC003298	phage
NC003309	phage
NC003313	phage
NC003315	phage
NC003324	phage
NC003327	phage
NC003356	phage
NC003387	phage
NC003390	phage
NC003438	phage
NC003444	phage
NC003460	phage
NC003524	phage
NC003793	phage
NC003907	phage
NC004066	phage
NC004112	phage
NC004165	phage
NC004166	phage
NC004167	phage
NC004301	phage
NC004302	phage
NC004303	phage
NC004305	phage
NC004306	phage
NC004313	phage
NC004333	phage
NC004348	phage
NC004456	phage
NC004462	phage
NC004466	phage
NC004615	phage
NC004616	phage
NC004617	phage
NC004629	phage
NC004664	phage
NC004665	phage
NC004678	phage
NC004679	phage
NC004680	phage
NC004681	phage
NC004682	phage
NC004683	phage
NC004684	phage
NC004685	phage
NC004686	phage
NC004687	phage
NC004688	phage
NC004689	phage
NC004735	phage
NC004736	phage
NC004745	phage
NC004746	phage
NC004775	phage
NC004777	phage
NC004813	phage
NC004814	phage
NC004827	phage
NC004831	phage
NC004902	phage
NC004913	phage
NC004914	phage
NC004928	phage
NC004996	phage
NC005045	phage
NC005056	phage
NC005066	phage
NC005069	phage
NC005083	phage
NC005091	phage
NC005131	phage
NC005135	phage
NC005178	phage
NC005258	phage
NC005259	phage
NC005260	phage
NC005262	phage
NC005263	phage
NC005282	phage
NC005284	phage
NC005294	phage
NC005340	phage
NC005342	phage
NC005344	phage
NC005345	phage
NC005354	phage
NC005355	phage
NC005356	phage
NC005357	phage
NC005822	phage
NC005833	phage
NC005841	phage
NC005856	phage
NC005857	phage
NC005859	phage
NC005879	phage
